,DPD,Fecha,Ubigeo,Contagiados,Proyeccion,Fallecidos,Movilidad,Vacunados
AMAZONAS-BAGUA-ARAMANGO,AMAZONAS-BAGUA-ARAMANGO,2021-03-01 00:00:00,010202,1,14,0.0,-13.2,5.0
AMAZONAS-BAGUA-BAGUA,AMAZONAS-BAGUA-BAGUA,2021-03-01 00:00:00,010201,13,9,0.0,-13.2,199.0
AMAZONAS-BAGUA-COPALLIN,AMAZONAS-BAGUA-COPALLIN,2021-02-01 00:00:00,010203,3,3,0.0,-16.428571428571427,0.0
AMAZONAS-BAGUA-EL PARCO,AMAZONAS-BAGUA-EL PARCO,2021-02-08 00:00:00,010204,1,4,0.0,-15.857142857142858,0.0
AMAZONAS-BAGUA-IMAZA,AMAZONAS-BAGUA-IMAZA,2021-03-01 00:00:00,010205,2,26,0.0,-13.2,14.0
AMAZONAS-BAGUA-LA PECA,AMAZONAS-BAGUA-LA PECA,2021-02-22 00:00:00,010206,7,9,0.0,-11.314285714285713,26.0
AMAZONAS-CHACHAPOYAS-ASUNCION,AMAZONAS-CHACHAPOYAS-ASUNCION,2020-10-05 00:00:00,010102,1,1,0.0,-14.914285714285715,0.0
AMAZONAS-CHACHAPOYAS-BALSAS,AMAZONAS-CHACHAPOYAS-BALSAS,2021-03-01 00:00:00,010103,1,3,0.0,-17.4,0.0
AMAZONAS-CHACHAPOYAS-CHACHAPOYAS,AMAZONAS-CHACHAPOYAS-CHACHAPOYAS,2021-03-01 00:00:00,010101,55,32,0.0,-17.4,387.0
AMAZONAS-CHACHAPOYAS-CHETO,AMAZONAS-CHACHAPOYAS-CHETO,2020-09-14 00:00:00,010104,1,1,0.0,-18.228571428571428,0.0
AMAZONAS-CHACHAPOYAS-CHUQUIBAMBA,AMAZONAS-CHACHAPOYAS-CHUQUIBAMBA,2021-02-15 00:00:00,010106,1,3,0.0,-14.457142857142856,0.0
AMAZONAS-CHACHAPOYAS-GRANADA,,,,,,,,
AMAZONAS-CHACHAPOYAS-HUANCAS,AMAZONAS-CHACHAPOYAS-HUANCAS,2021-02-22 00:00:00,010108,1,1,0.0,-13.371428571428572,0.0
AMAZONAS-CHACHAPOYAS-LA JALCA,AMAZONAS-CHACHAPOYAS-LA JALCA,2021-03-01 00:00:00,010109,3,2,0.0,-17.4,0.0
AMAZONAS-CHACHAPOYAS-LEIMEBAMBA,AMAZONAS-CHACHAPOYAS-LEIMEBAMBA,2021-02-22 00:00:00,010110,4,3,0.0,-13.371428571428572,25.0
AMAZONAS-CHACHAPOYAS-LEVANTO,AMAZONAS-CHACHAPOYAS-LEVANTO,2020-11-02 00:00:00,010111,1,1,0.0,-12.714285714285714,0.0
AMAZONAS-CHACHAPOYAS-MAGDALENA,AMAZONAS-CHACHAPOYAS-MAGDALENA,2021-02-01 00:00:00,010112,4,2,0.0,-14.657142857142855,0.0
