,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,SEMANA,UUID
0,AMAZONAS,BAGUA,ARAMANGO,010202,2020-14,1
1,AMAZONAS,BAGUA,ARAMANGO,010202,2020-15,3
2,AMAZONAS,BAGUA,ARAMANGO,010202,2020-16,1
3,AMAZONAS,BAGUA,ARAMANGO,010202,2020-17,11
4,AMAZONAS,BAGUA,ARAMANGO,010202,2020-18,2
5,AMAZONAS,BAGUA,ARAMANGO,010202,2020-20,3
6,AMAZONAS,BAGUA,ARAMANGO,010202,2020-21,7
7,AMAZONAS,BAGUA,ARAMANGO,010202,2020-22,8
8,AMAZONAS,BAGUA,ARAMANGO,010202,2020-23,52
9,AMAZONAS,BAGUA,ARAMANGO,010202,2020-24,60
10,AMAZONAS,BAGUA,ARAMANGO,010202,2020-25,49
11,AMAZONAS,BAGUA,ARAMANGO,010202,2020-26,55
12,AMAZONAS,BAGUA,ARAMANGO,010202,2020-27,33
13,AMAZONAS,BAGUA,ARAMANGO,010202,2020-28,68
14,AMAZONAS,BAGUA,ARAMANGO,010202,2020-29,99
15,AMAZONAS,BAGUA,ARAMANGO,010202,2020-30,92
16,AMAZONAS,BAGUA,ARAMANGO,010202,2020-31,96
17,AMAZONAS,BAGUA,ARAMANGO,010202,2020-32,264
18,AMAZONAS,BAGUA,ARAMANGO,010202,2020-33,448
19,AMAZONAS,BAGUA,ARAMANGO,010202,2020-34,494
20,AMAZONAS,BAGUA,ARAMANGO,010202,2020-35,191
21,AMAZONAS,BAGUA,ARAMANGO,010202,2020-36,340
22,AMAZONAS,BAGUA,ARAMANGO,010202,2020-37,382
23,AMAZONAS,BAGUA,ARAMANGO,010202,2020-38,457
24,AMAZONAS,BAGUA,ARAMANGO,010202,2020-39,24
25,AMAZONAS,BAGUA,ARAMANGO,010202,2020-40,10
26,AMAZONAS,BAGUA,ARAMANGO,010202,2020-41,4
27,AMAZONAS,BAGUA,ARAMANGO,010202,2020-42,40
28,AMAZONAS,BAGUA,ARAMANGO,010202,2020-44,5
29,AMAZONAS,BAGUA,ARAMANGO,010202,2020-45,6
30,AMAZONAS,BAGUA,ARAMANGO,010202,2020-46,5
31,AMAZONAS,BAGUA,ARAMANGO,010202,2020-47,12
32,AMAZONAS,BAGUA,ARAMANGO,010202,2020-49,7
33,AMAZONAS,BAGUA,ARAMANGO,010202,2020-50,7
34,AMAZONAS,BAGUA,ARAMANGO,010202,2020-51,4
35,AMAZONAS,BAGUA,ARAMANGO,010202,2020-52,1
36,AMAZONAS,BAGUA,ARAMANGO,010202,2021-02,1
37,AMAZONAS,BAGUA,ARAMANGO,010202,2021-03,3
38,AMAZONAS,BAGUA,ARAMANGO,010202,2021-04,8
39,AMAZONAS,BAGUA,ARAMANGO,010202,2021-05,1
40,AMAZONAS,BAGUA,ARAMANGO,010202,2021-06,23
41,AMAZONAS,BAGUA,ARAMANGO,010202,2021-07,12
42,AMAZONAS,BAGUA,ARAMANGO,010202,2021-08,6
43,AMAZONAS,BAGUA,ARAMANGO,010202,2021-09,1
44,AMAZONAS,BAGUA,BAGUA,010201,2020-14,4
45,AMAZONAS,BAGUA,BAGUA,010201,2020-15,12
46,AMAZONAS,BAGUA,BAGUA,010201,2020-16,3
47,AMAZONAS,BAGUA,BAGUA,010201,2020-17,20
48,AMAZONAS,BAGUA,BAGUA,010201,2020-18,22
49,AMAZONAS,BAGUA,BAGUA,010201,2020-19,50
50,AMAZONAS,BAGUA,BAGUA,010201,2020-20,26
51,AMAZONAS,BAGUA,BAGUA,010201,2020-21,23
52,AMAZONAS,BAGUA,BAGUA,010201,2020-22,31
53,AMAZONAS,BAGUA,BAGUA,010201,2020-23,27
54,AMAZONAS,BAGUA,BAGUA,010201,2020-24,86
55,AMAZONAS,BAGUA,BAGUA,010201,2020-25,144
56,AMAZONAS,BAGUA,BAGUA,010201,2020-26,110
57,AMAZONAS,BAGUA,BAGUA,010201,2020-27,114
58,AMAZONAS,BAGUA,BAGUA,010201,2020-28,224
59,AMAZONAS,BAGUA,BAGUA,010201,2020-29,127
60,AMAZONAS,BAGUA,BAGUA,010201,2020-30,131
61,AMAZONAS,BAGUA,BAGUA,010201,2020-31,113
62,AMAZONAS,BAGUA,BAGUA,010201,2020-32,121
63,AMAZONAS,BAGUA,BAGUA,010201,2020-33,49
64,AMAZONAS,BAGUA,BAGUA,010201,2020-34,35
65,AMAZONAS,BAGUA,BAGUA,010201,2020-35,13
66,AMAZONAS,BAGUA,BAGUA,010201,2020-36,43
67,AMAZONAS,BAGUA,BAGUA,010201,2020-37,36
68,AMAZONAS,BAGUA,BAGUA,010201,2020-38,37
69,AMAZONAS,BAGUA,BAGUA,010201,2020-39,21
70,AMAZONAS,BAGUA,BAGUA,010201,2020-40,25
71,AMAZONAS,BAGUA,BAGUA,010201,2020-41,15
72,AMAZONAS,BAGUA,BAGUA,010201,2020-42,74
