,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,SEMANA,CONTAGIOS,VACUNADOS,CENTRO_COMERCIAL,TIENDAS_FARMACIAS,PARQUES,PARADEROS,CENTRO_LABORAL,FALLECIDOS
0,AMAZONAS,BAGUA,ARAMANGO,010202,2020-14,1,0.0,0.0,0.0,-66.71428571428571,-10.428571428571429,-27.714285714285715,0.0
1,AMAZONAS,BAGUA,ARAMANGO,010202,2020-15,3,0.0,0.0,0.0,-58.57142857142857,-18.571428571428573,-7.571428571428571,0.0
2,AMAZONAS,BAGUA,ARAMANGO,010202,2020-16,1,0.0,0.0,0.0,-63.14285714285714,-40.42857142857143,-7.0,0.0
3,AMAZONAS,BAGUA,ARAMANGO,010202,2020-17,11,0.0,0.0,0.0,-64.28571428571429,-40.42857142857143,0.0,0.0
4,AMAZONAS,BAGUA,ARAMANGO,010202,2020-18,2,0.0,0.0,0.0,-61.0,-38.714285714285715,0.0,0.0
5,AMAZONAS,BAGUA,ARAMANGO,010202,2020-20,3,0.0,0.0,0.0,-57.0,-56.714285714285715,0.0,0.0
6,AMAZONAS,BAGUA,ARAMANGO,010202,2020-21,7,0.0,0.0,0.0,-54.14285714285714,-59.14285714285714,0.0,0.0
7,AMAZONAS,BAGUA,ARAMANGO,010202,2020-22,8,0.0,0.0,0.0,-52.14285714285714,-55.57142857142857,0.0,1.0
8,AMAZONAS,BAGUA,ARAMANGO,010202,2020-23,52,0.0,0.0,0.0,-45.714285714285715,-49.14285714285714,-18.142857142857142,0.0
9,AMAZONAS,BAGUA,ARAMANGO,010202,2020-24,60,0.0,0.0,0.0,-43.42857142857143,-57.85714285714285,-22.285714285714285,0.0
10,AMAZONAS,BAGUA,ARAMANGO,010202,2020-25,49,0.0,0.0,0.0,-45.714285714285715,-55.0,-22.57142857142857,1.0
11,AMAZONAS,BAGUA,ARAMANGO,010202,2020-26,55,0.0,0.0,0.0,-41.0,-55.14285714285714,-25.0,1.0
12,AMAZONAS,BAGUA,ARAMANGO,010202,2020-27,33,0.0,0.0,0.0,-37.57142857142857,-63.14285714285714,-22.57142857142857,2.0
13,AMAZONAS,BAGUA,ARAMANGO,010202,2020-28,68,0.0,0.0,0.0,-39.285714285714285,-65.71428571428571,-24.714285714285715,0.0
14,AMAZONAS,BAGUA,ARAMANGO,010202,2020-29,99,0.0,0.0,0.0,-32.285714285714285,-61.14285714285714,-21.0,1.0
15,AMAZONAS,BAGUA,ARAMANGO,010202,2020-30,92,0.0,0.0,0.0,-33.42857142857143,-60.85714285714285,-22.714285714285715,0.0
16,AMAZONAS,BAGUA,ARAMANGO,010202,2020-31,96,0.0,0.0,0.0,-38.57142857142857,-51.28571428571429,-20.857142857142858,0.0
17,AMAZONAS,BAGUA,ARAMANGO,010202,2020-32,264,0.0,0.0,0.0,-35.0,-48.28571428571429,-16.285714285714285,0.0
18,AMAZONAS,BAGUA,ARAMANGO,010202,2020-33,448,0.0,0.0,0.0,-77.0,0.0,-31.0,0.0
