,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,SEMANA,Fecha
0,AMAZONAS,BAGUA,ARAMANGO,010202,2020-22,1
1,AMAZONAS,BAGUA,ARAMANGO,010202,2020-25,1
2,AMAZONAS,BAGUA,ARAMANGO,010202,2020-26,1
3,AMAZONAS,BAGUA,ARAMANGO,010202,2020-27,2
4,AMAZONAS,BAGUA,ARAMANGO,010202,2020-29,1
5,AMAZONAS,BAGUA,ARAMANGO,010202,2020-36,1
6,AMAZONAS,BAGUA,ARAMANGO,010202,2021-07,2
7,AMAZONAS,BAGUA,ARAMANGO,010202,2021-08,1
8,AMAZONAS,BAGUA,BAGUA,010201,2020-18,3
9,AMAZONAS,BAGUA,BAGUA,010201,2020-19,2
10,AMAZONAS,BAGUA,BAGUA,010201,2020-22,3
11,AMAZONAS,BAGUA,BAGUA,010201,2020-23,2
12,AMAZONAS,BAGUA,BAGUA,010201,2020-24,5
13,AMAZONAS,BAGUA,BAGUA,010201,2020-25,6
14,AMAZONAS,BAGUA,BAGUA,010201,2020-26,3
15,AMAZONAS,BAGUA,BAGUA,010201,2020-27,8
16,AMAZONAS,BAGUA,BAGUA,010201,2020-28,5
17,AMAZONAS,BAGUA,BAGUA,010201,2020-29,8
18,AMAZONAS,BAGUA,BAGUA,010201,2020-30,4
19,AMAZONAS,BAGUA,BAGUA,010201,2020-31,1
20,AMAZONAS,BAGUA,BAGUA,010201,2020-32,1
21,AMAZONAS,BAGUA,BAGUA,010201,2020-41,1
22,AMAZONAS,BAGUA,BAGUA,010201,2020-42,1
23,AMAZONAS,BAGUA,BAGUA,010201,2020-45,1
24,AMAZONAS,BAGUA,BAGUA,010201,2020-46,1
25,AMAZONAS,BAGUA,BAGUA,010201,2020-47,2
26,AMAZONAS,BAGUA,BAGUA,010201,2020-51,1
27,AMAZONAS,BAGUA,BAGUA,010201,2021-07,1
28,AMAZONAS,BAGUA,BAGUA,010201,2021-08,1
