Departamento,Ubigeo,iddist,Provincia,Distrito
"AMAZONAS","010101",10101,"CHACHAPOYAS","CHACHAPOYAS"
"AMAZONAS","010102",10102,"CHACHAPOYAS","ASUNCION"
"AMAZONAS","010103",10103,"CHACHAPOYAS","BALSAS"
"AMAZONAS","010104",10104,"CHACHAPOYAS","CHETO"
"AMAZONAS","010105",10105,"CHACHAPOYAS","CHILIQUIN"
"AMAZONAS","010106",10106,"CHACHAPOYAS","CHUQUIBAMBA"
"AMAZONAS","010107",10107,"CHACHAPOYAS","GRANADA"
"AMAZONAS","010108",10108,"CHACHAPOYAS","HUANCAS"
"AMAZONAS","010109",10109,"CHACHAPOYAS","LA JALCA"
"AMAZONAS","010110",10110,"CHACHAPOYAS","LEIMEBAMBA"
"AMAZONAS","010111",10111,"CHACHAPOYAS","LEVANTO"
"AMAZONAS","010112",10112,"CHACHAPOYAS","MAGDALENA"
"AMAZONAS","010113",10113,"CHACHAPOYAS","MARISCAL CASTILLA"
"AMAZONAS","010114",10114,"CHACHAPOYAS","MOLINOPAMPA"
"AMAZONAS","010115",10115,"CHACHAPOYAS","MONTEVIDEO"
"AMAZONAS","010116",10116,"CHACHAPOYAS","OLLEROS"
"AMAZONAS","010117",10117,"CHACHAPOYAS","QUINJALCA"
"AMAZONAS","010118",10118,"CHACHAPOYAS","SAN FRANCISCO DE DAGUAS"
"AMAZONAS","010119",10119,"CHACHAPOYAS","SAN ISIDRO DE MAINO"
"AMAZONAS","010120",10120,"CHACHAPOYAS","SOLOCO"
"AMAZONAS","010121",10121,"CHACHAPOYAS","SONCHE"
"AMAZONAS","010201",10201,"BAGUA","BAGUA"
"AMAZONAS","010202",10202,"BAGUA","ARAMANGO"
"AMAZONAS","010203",10203,"BAGUA","COPALLIN"
"AMAZONAS","010204",10204,"BAGUA","EL PARCO"
"AMAZONAS","010205",10205,"BAGUA","IMAZA"
"AMAZONAS","010206",10206,"BAGUA","LA PECA"
"AMAZONAS","010301",10301,"BONGARA","JUMBILLA"
"AMAZONAS","010302",10302,"BONGARA","CHISQUILLA"
"AMAZONAS","010303",10303,"BONGARA","CHURUJA"
"AMAZONAS","010304",10304,"BONGARA","COROSHA"
"AMAZONAS","010305",10305,"BONGARA","CUISPES"
"AMAZONAS","010306",10306,"BONGARA","FLORIDA"
"AMAZONAS","010307",10307,"BONGARA","JAZAN"
"AMAZONAS","010308",10308,"BONGARA","RECTA"
"AMAZONAS","010309",10309,"BONGARA","SAN CARLOS"
"AMAZONAS","010310",10310,"BONGARA","SHIPASBAMBA"
"AMAZONAS","010311",10311,"BONGARA","VALERA"
"AMAZONAS","010312",10312,"BONGARA","YAMBRASBAMBA"
"AMAZONAS","010401",10401,"CONDORCANQUI","NIEVA"
"AMAZONAS","010402",10402,"CONDORCANQUI","EL CENEPA"
"AMAZONAS","010403",10403,"CONDORCANQUI","RIO SANTIAGO"
"AMAZONAS","010501",10501,"LUYA","LAMUD"
"AMAZONAS","010502",10502,"LUYA","CAMPORREDONDO"
"AMAZONAS","010503",10503,"LUYA","COCABAMBA"
"AMAZONAS","010504",10504,"LUYA","COLCAMAR"
"AMAZONAS","010505",10505,"LUYA","CONILA"
"AMAZONAS","010506",10506,"LUYA","INGUILPATA"
"AMAZONAS","010507",10507,"LUYA","LONGUITA"
"AMAZONAS","010508",10508,"LUYA","LONYA CHICO"
"AMAZONAS","010509",10509,"LUYA","LUYA"
"AMAZONAS","010510",10510,"LUYA","LUYA VIEJO"
"AMAZONAS","010511",10511,"LUYA","MARIA"
"AMAZONAS","010512",10512,"LUYA","OCALLI"
"AMAZONAS","010513",10513,"LUYA","OCUMAL"
"AMAZONAS","010514",10514,"LUYA","PISUQUIA"
"AMAZONAS","010515",10515,"LUYA","PROVIDENCIA"
"AMAZONAS","010516",10516,"LUYA","SAN CRISTOBAL"
"AMAZONAS","010517",10517,"LUYA","SAN FRANCISCO DEL YESO"
"AMAZONAS","010518",10518,"LUYA","SAN JERONIMO"
"AMAZONAS","010519",10519,"LUYA","SAN JUAN DE LOPECANCHA"
"AMAZONAS","010520",10520,"LUYA","SANTA CATALINA"
"AMAZONAS","010521",10521,"LUYA","SANTO TOMAS"
"AMAZONAS","010522",10522,"LUYA","TINGO"
"AMAZONAS","010523",10523,"LUYA","TRITA"
"AMAZONAS","010601",10601,"RODRIGUEZ DE MENDOZA","SAN NICOLAS"
"AMAZONAS","010602",10602,"RODRIGUEZ DE MENDOZA","CHIRIMOTO"
"AMAZONAS","010603",10603,"RODRIGUEZ DE MENDOZA","COCHAMAL"
"AMAZONAS","010604",10604,"RODRIGUEZ DE MENDOZA","HUAMBO"
"AMAZONAS","010605",10605,"RODRIGUEZ DE MENDOZA","LIMABAMBA"
"AMAZONAS","010606",10606,"RODRIGUEZ DE MENDOZA","LONGAR"
"AMAZONAS","010607",10607,"RODRIGUEZ DE MENDOZA","MARISCAL BENAVIDES"
"AMAZONAS","010608",10608,"RODRIGUEZ DE MENDOZA","MILPUC"
"AMAZONAS","010609",10609,"RODRIGUEZ DE MENDOZA","OMIA"
"AMAZONAS","010610",10610,"RODRIGUEZ DE MENDOZA","SANTA ROSA"
"AMAZONAS","010611",10611,"RODRIGUEZ DE MENDOZA","TOTORA"
"AMAZONAS","010612",10612,"RODRIGUEZ DE MENDOZA","VISTA ALEGRE"
"AMAZONAS","010701",10701,"UTCUBAMBA","BAGUA GRANDE"
"AMAZONAS","010702",10702,"UTCUBAMBA","CAJARURO"
"AMAZONAS","010703",10703,"UTCUBAMBA","CUMBA"
"AMAZONAS","010704",10704,"UTCUBAMBA","EL MILAGRO"
"AMAZONAS","010705",10705,"UTCUBAMBA","JAMALCA"
"AMAZONAS","010706",10706,"UTCUBAMBA","LONYA GRANDE"
"AMAZONAS","010707",10707,"UTCUBAMBA","YAMON"
"ANCASH","020101",20101,"HUARAZ","HUARAZ"
"ANCASH","020102",20102,"HUARAZ","COCHABAMBA"
"ANCASH","020103",20103,"HUARAZ","COLCABAMBA"
"ANCASH","020104",20104,"HUARAZ","HUANCHAY"
"ANCASH","020105",20105,"HUARAZ","INDEPENDENCIA"
"ANCASH","020106",20106,"HUARAZ","JANGAS"
"ANCASH","020107",20107,"HUARAZ","LA LIBERTAD"
"ANCASH","020108",20108,"HUARAZ","OLLEROS"
"ANCASH","020109",20109,"HUARAZ","PAMPAS GRANDE"
"ANCASH","020110",20110,"HUARAZ","PARIACOTO"
"ANCASH","020111",20111,"HUARAZ","PIRA"
"ANCASH","020112",20112,"HUARAZ","TARICA"
"ANCASH","020201",20201,"AIJA","AIJA"
"ANCASH","020202",20202,"AIJA","CORIS"
"ANCASH","020203",20203,"AIJA","HUACLLAN"
"ANCASH","020204",20204,"AIJA","LA MERCED"
"ANCASH","020205",20205,"AIJA","SUCCHA"
"ANCASH","020301",20301,"ANTONIO RAYMONDI","LLAMELLIN"
"ANCASH","020302",20302,"ANTONIO RAYMONDI","ACZO"
"ANCASH","020303",20303,"ANTONIO RAYMONDI","CHACCHO"
"ANCASH","020304",20304,"ANTONIO RAYMONDI","CHINGAS"
"ANCASH","020305",20305,"ANTONIO RAYMONDI","MIRGAS"
"ANCASH","020306",20306,"ANTONIO RAYMONDI","SAN JUAN DE RONTOY"
