,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,SEMANA,UUID
0,AMAZONAS,BAGUA,ARAMANGO,010202,2021-08,70
1,AMAZONAS,BAGUA,ARAMANGO,010202,2021-09,5
2,AMAZONAS,BAGUA,BAGUA,010201,2021-06,251
3,AMAZONAS,BAGUA,BAGUA,010201,2021-07,65
4,AMAZONAS,BAGUA,BAGUA,010201,2021-08,422
5,AMAZONAS,BAGUA,BAGUA,010201,2021-09,199
6,AMAZONAS,BAGUA,COPALLIN,010203,2021-08,30
7,AMAZONAS,BAGUA,COPALLIN,010203,2021-09,1
8,AMAZONAS,BAGUA,EL PARCO,010204,2021-08,14
9,AMAZONAS,BAGUA,IMAZA,010205,2021-08,159
10,AMAZONAS,BAGUA,IMAZA,010205,2021-09,14
11,AMAZONAS,BAGUA,LA PECA,010206,2021-08,26
12,AMAZONAS,BAGUA,LA PECA,010206,2021-09,2
13,AMAZONAS,BONGARA,CHISQUILLA,010302,2021-07,1
14,AMAZONAS,BONGARA,CHURUJA,010303,2021-08,4
15,AMAZONAS,BONGARA,COROSHA,010304,2021-07,5
16,AMAZONAS,BONGARA,CUISPES,010305,2021-07,2
17,AMAZONAS,BONGARA,FLORIDA,010306,2021-06,30
18,AMAZONAS,BONGARA,FLORIDA,010306,2021-07,6
19,AMAZONAS,BONGARA,FLORIDA,010306,2021-08,2
20,AMAZONAS,BONGARA,FLORIDA,010306,2021-09,25
21,AMAZONAS,BONGARA,JAZAN,010307,2021-06,39
22,AMAZONAS,BONGARA,JAZAN,010307,2021-07,11
23,AMAZONAS,BONGARA,JAZAN,010307,2021-08,6
24,AMAZONAS,BONGARA,JAZAN,010307,2021-09,29
25,AMAZONAS,BONGARA,JUMBILLA,010301,2021-07,16
26,AMAZONAS,BONGARA,JUMBILLA,010301,2021-09,1
27,AMAZONAS,BONGARA,RECTA,010308,2021-07,1
28,AMAZONAS,BONGARA,SAN CARLOS,010309,2021-07,1
29,AMAZONAS,BONGARA,SHIPASBAMBA,010310,2021-07,2
30,AMAZONAS,BONGARA,SHIPASBAMBA,010310,2021-08,5
31,AMAZONAS,BONGARA,VALERA,010311,2021-07,2
32,AMAZONAS,BONGARA,VALERA,010311,2021-08,3
33,AMAZONAS,BONGARA,VALERA,010311,2021-09,1
34,AMAZONAS,BONGARA,YAMBRASBAMBA,010312,2021-06,1
35,AMAZONAS,BONGARA,YAMBRASBAMBA,010312,2021-08,22
36,AMAZONAS,CHACHAPOYAS,ASUNCION,010102,2021-07,2
37,AMAZONAS,CHACHAPOYAS,BALSAS,010103,2021-08,10
38,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,2021-06,387
39,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,2021-07,277
40,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,2021-08,491
41,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,2021-09,387
42,AMAZONAS,CHACHAPOYAS,CHETO,010104,2021-07,3
43,AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,2021-07,3
44,AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,2021-08,3
45,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,2021-08,12
46,AMAZONAS,CHACHAPOYAS,GRANADA,010107,2021-08,1
47,AMAZONAS,CHACHAPOYAS,HUANCAS,010108,2021-07,1
48,AMAZONAS,CHACHAPOYAS,HUANCAS,010108,2021-09,2
49,AMAZONAS,CHACHAPOYAS,LA JALCA,010109,2021-07,37
50,AMAZONAS,CHACHAPOYAS,LA JALCA,010109,2021-08,6
51,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,2021-08,25
52,AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,2021-07,3
